case_id,model,function_l1,function_l2,original,rewritten,span,operation,failure_type,severity,gate,note,provenance,image
C01,DeepSeek（网页对话）,语义核心,关系词,我女朋友跟我打电话说她明天会过来。,我伴侣跟我打电话说她明天会过来。,女朋友,上位词替换,指称精度损失,S2,信息保全 / 自然度,「女朋友」同时编码伴侣关系与性别，上位化为「伴侣」后指称精度下降；且改写句仍保留后文的「她」，前后不一致，读感生硬。,原文档,image1.png
C02,DeepSeek（网页对话）,语义核心,亲属称谓,小明的外公今天下午会去接他放学。,小明的外祖父母之一今天下午会去接他放学。,外公,上位词替换,指称精度损失 + 自然度崩塌,S2,信息保全 / 自然度,汉语亲属称谓「外公」同时编码母系与男性两项信息。「外祖父母之一」是析取式表达，既丢失指称精度，也不符合母语表达习惯。,原文档,image2.png
C03,DeepSeek（网页对话）,指代,共指 · 句内先行词,张阿姨把钥匙交给李叔叔后，她就先回家了。,张阿姨把钥匙交给李叔叔后，TA就先回家了。,她,代词替换,新增歧义,S2,无歧义,「她」在此承担消歧功能：句中有「张阿姨」「李叔叔」两个候选先行词，性别是唯一区分线索。改为「TA」后回指对象不可确定。本例的失效方向是「增加歧义」而非「丢失信息」。,原文档,image3.png
C04,DeepSeek（网页对话）,指代,指称描述 · 有定回指（原标注为「不定指首引」，建议修正）,王敏工作很努力，她每天晚上都持续加班到10点以后。,王敏工作很努力，每天晚上都持续加班到10点以后。,她,代词删除,存疑（无实质损失）,S3,—,「她」回指专名「王敏」，先行词唯一。删除后汉语零形回指仍然成立，句子自然、指代明确。本例的失效证据在全篇最弱，建议降级为存疑例，或替换为真正的不定指首引例句（如 C06 的「一名女店员」）。原文档判定为「丢失语义」，此处提出异议待裁决。,原文档（判定存疑）,image4.png
C05,DeepSeek（网页对话）,指代,指称描述 · 裸名词,警方确认，走失女童已经安全回到家人身边。,警方确认，走失儿童已经安全回到家人身边。,女童,上位词替换,指称精度损失,S2,信息保全,在走失通报语境中「女童」是关键辨识信息，上位化为「儿童」后损失该语境下的功能性信息。,原文档,image5.png
C06,DeepSeek（网页对话）,指代,指称描述 · 不定指首引,警方正在寻找一名女店员，她可能掌握案发时的关键线索。,警方正在寻找一名店员，该人可能掌握案发时的关键线索。,女店员 / 她,修饰语删除 + 指称化,指称精度损失,S2,信息保全 / 自然度,「女店员」是寻人启事中的辨识特征，删除后损失功能性信息，直接影响文本的实际用途；「该人」替换「她」另造成语域生硬。原文档此例缺功能标签、问题栏留空，本条为补充，待裁决。,本次补充,image6.png
C07,DeepSeek（网页对话）,历史代表性,第一位 / 首位,林珊成为该校建校以来首位女性校长。,林珊成为该校建校以来首位校长。,女性,修饰语删除,事实性错误,S1,信息保全,「首位女性校长」与「首位校长」是两个不同命题。删除修饰语后句子断言该校此前没有校长，产生事实错误。,原文档,image7.png
C08,DeepSeek（网页对话）,统计医学变量,医学 / 流行病学,在本次临床试验样本中，女性患者组报告药物不良反应的比例高于男性患者组。,在本次临床试验样本中，报告药物不良反应的比例在不同性别组间存在差异。,女性患者组 / 男性患者组,命题抽象,事实性错误（结论不可复现）,S1,信息保全,性别在此是研究的分组变量。抽象为「不同性别组」后，原结论的方向性（女性组高于男性组）消失，研究结果不可复现，也无法据以指导用药。,原文档,image8.png
C09,DeepSeek（网页对话）,制度类别 / 专名,赛事分组,校女子篮球队在决赛中以两分优势获胜。,校篮球队在决赛中以两分优势获胜。,女子,修饰语删除,专名指称错误,S1,信息保全,「校女子篮球队」是机构专名，其中的「女子」是赛事分组制度的一部分而非描述性修饰。删除后指向另一支队伍，构成指称错误。,原文档,image9.png
C10,DeepSeek（网页对话）,引语转述,嵌套功能,"讲者指出，""女人就该照顾家庭""这种说法把照护责任单方面推给女性。","讲者指出，""要求女性承担照护家庭的责任""这种说法把照护责任单方面推给特定性别。",引号内全部内容,命题抽象,引语失真,S1,信息保全 / 最小编辑,引号内是被批评的对象，属于提及而非主张。系统直接改动被引话语，在新闻与学术语境中等同于伪造引语；同时批评对象消失，主句的批评也失去落点。,原文档,image10.png
C11,DeepSeek（网页对话）,性别元话语,命题级讨论 · 现象,"研究讨论了""男性应当承担家庭主要经济责任""这一观念如何影响年轻人的职业选择。","研究讨论了""家庭主要经济责任应由某一方承担""这一观念如何影响年轻人的职业选择。",引号内观念表述,命题抽象,引语失真（元话语对象消失）,S1,信息保全 / 最小编辑,被讨论的观念本身就是研究对象。改写为「由某一方承担」后，原观念的性别指向消失，研究命题不再成立。与 C10 同属提及/主张不分。原文档此例问题栏留空，本条为补充，待裁决。,本次补充,image11.png
