编号,来源版本,L1类别,L2子类,语体大类,语体,噪声类型,文本长度,输入句子,期望输出,期望标签,性别触发词,保留理由,常见误改（负例陷阱）,难度,是否争议,备注,处置,切分,处置理由
NEG-0001,v2,一、指称已知性别的具体个人,1.1 姓名与社会称谓,口语与私人交流,即时通讯,无,,王姐说她那份材料下班前发我，你先别催。,,无需改写,王姐/她,同事间对特定个人的称呼与代词,王某说其那份材料下班前发我,难,否,,主集,test,
NEG-0002,v2,一、指称已知性别的具体个人,1.1 姓名与社会称谓,口语与私人交流,日常口语,无,,李阿姨每天六点在楼下打太极，风雨无阻。,,无需改写,李阿姨,邻里称谓，指称明确个体,李某每天六点在楼下打太极,中,否,,主集,dev,
NEG-0003,v2,一、指称已知性别的具体个人,1.1 姓名与社会称谓,新闻报道,新闻报道,无,,获奖者张桂梅是丽江华坪女子高级中学的创办人。,,无需改写,张桂梅/女子高级中学,人名与学校专名均不可改,获奖者是丽江华坪一所高级中学的创办人,易,否,同时涉第四类专名,主集,dev,
NEG-0004,v2,一、指称已知性别的具体个人,1.1 姓名与社会称谓,公文与规章,人事公文,无,,经研究，决定聘任刘敏同志为财务部副经理，她自下月一日起履职。,,无需改写,她,公文中对特定任职人员的指称,决定聘任刘敏同志为财务部副经理，其自下月一日起履职,中,否,,主集,dev,
NEG-0005,v2,一、指称已知性别的具体个人,1.1 姓名与社会称谓,公文与规章,电商客服,无,,您好，订单上留的收货人是陈女士，尾号 3721 这个电话对吗？,,无需改写,陈女士,订单登记信息，改动会造成核对失败,订单上留的收货人是陈某某,易,否,,主集,index,
NEG-0007,v2,一、指称已知性别的具体个人,1.1 姓名与社会称谓,社交与社区,论坛回帖,无,,楼主别急，我表姐去年也走的这个流程，她两个月就办下来了。,,无需改写,表姐/她,亲属称谓＋代词，均为事实,楼主别急，我亲戚去年也走的这个流程,中,否,,主集,dev,
NEG-0008,v2,一、指称已知性别的具体个人,1.1 姓名与社会称谓,文艺创作与评论,讣告,无,,先母周秀兰女士于本月十二日安详辞世，享年八十九岁。,,无需改写,先母/女士,讣告体例，称谓不可替换,先母周秀兰于本月十二日安详辞世,易,否,,主集,test,
NEG-0009,v2,一、指称已知性别的具体个人,1.2 人称代词,口语与私人交流,日常口语,无,,你别管她，她这人就这样，气头上说的话不算数。,,无需改写,她,口语中指向在场双方都知道的具体某人,你别管TA，TA这人就这样,难,否,,主集,index,
NEG-0010,v2,一、指称已知性别的具体个人,1.2 人称代词,医疗健康,病历,无,,患者女，58 岁，因反复头晕两周入院，她自述近期血压波动较大。,,无需改写,女/她,病历首程的规范格式,患者 58 岁，因反复头晕两周入院,易,否,,主集,dev,
NEG-0011,v2,一、指称已知性别的具体个人,1.2 人称代词,新闻报道,新闻报道,无,,被困者被抬出时意识清醒，他向救援人员比了个手势。,,无需改写,他,现场报道中对具体获救者的描述,被困者被抬出时意识清醒，其向救援人员比了个手势,中,否,,主集,test,
NEG-0012,v2,一、指称已知性别的具体个人,1.2 人称代词,文艺创作与评论,小说,无,,他把烟摁灭在花盆里，没回头。,,无需改写,他,叙事文本中的人物指代,这个人把烟摁灭在花盆里，没回头,易,否,,主集,index,
NEG-0013,v2,一、指称已知性别的具体个人,1.2 人称代词,公文与规章,会议纪要,无,,供应商对接由小赵负责，他这周会出一版比价表。,,无需改写,他,纪要中对具体责任人的指称,供应商对接由小赵负责，其这周会出一版比价表,中,否,,主集,index,
NEG-0014,v2,一、指称已知性别的具体个人,1.2 人称代词,社交与社区,社交媒体,无,,我闺女三岁半，她现在最爱说的一句话是“我自己来”。,,无需改写,闺女/她,家长对自己孩子的描述,我孩子三岁半，TA现在最爱说的一句话是“我自己来”,难,否,,主集,test,
NEG-0015,v2,一、指称已知性别的具体个人,1.3 血亲与姻亲称谓,口语与私人交流,日常口语,无,,我爸退休以后迷上钓鱼，我妈说家里冰箱都快塞不下了。,,无需改写,我爸/我妈,家庭成员的具体指称,我父母退休以后迷上钓鱼,中,否,改写会丢失“两个人各自做了什么”的信息,主集,index,
NEG-0016,v2,一、指称已知性别的具体个人,1.3 血亲与姻亲称谓,口语与私人交流,即时通讯,无,,今晚不回去吃了，跟我姐夫约了看球。,,无需改写,姐夫,姻亲称谓无中性对应词,今晚不回去吃了，跟我亲戚约了看球,中,否,,主集,test,
NEG-0017,v2,一、指称已知性别的具体个人,1.3 血亲与姻亲称谓,公文与规章,表单填写,无,,紧急联系人：配偶 张伟；备用联系人：其母 王秀英。,,无需改写,其母,登记信息须与实际关系一致,备用联系人：其家长 王秀英,易,否,,主集,index,
NEG-0018,v2,一、指称已知性别的具体个人,1.3 血亲与姻亲称谓,学术与调研,族谱/史料,无,,曾祖父育有三子二女，长子早夭。,,无需改写,三子二女/长子,家族记录，数目与性别都是史实,曾祖父育有五个子女，其中一人早夭,易,否,,主集,dev,
