编号,来源版本,L1类别,L2子类,载体形式,指向性别,叠加类别,语体大类,语体,噪声类型,文本长度,输入句子,参考改写,期望标签,问题触发词,问题说明,可接受的其他改法,欠改陷阱（改了但没改到位）,过改陷阱（矫枉过正）,必须保留的信息,严重度,难度,是否争议,备注,处置,切分,处置理由
POS-0001,v3,一、缺省预设（信息缺位处默认为男性）,1.1 泛指人称代词,常规句,不特指,,公文与规章,政务办事指南,无,中,参保人办理变更登记后，他应在三十日内补交完税证明。,参保人办理变更登记后，应在三十日内补交完税证明。,需改写,他,参保人为不特定对象，性别未知，默认用“他”属男性预设。,改为“本人应在三十日内”；或“应由参保人在三十日内”,改成“他／她”，仍保留二元穷举,把“三十日”“完税证明”一并简化，损失办事要件,三十日期限、完税证明、变更登记,应改,易,否,,主集,dev,
POS-0002,v3,一、缺省预设（信息缺位处默认为男性）,1.1 泛指人称代词,常规句,不特指,,商业与产品,产品帮助文档,无,中,当用户完成注册，他会收到一封激活邮件，他需要点击其中的链接完成验证。,用户完成注册后会收到一封激活邮件，点击其中的链接即可完成验证。,需改写,他（两处）,同句两处泛指“他”，中文承前省略即可，无须代词。,“注册完成后，系统会发送激活邮件，点击链接即可验证”,只改前一处，后一处“他需要”未动,把“激活邮件”改成“通知”，丢失具体动作,激活邮件、点击链接、完成验证,应改,易,否,多触发点样本,主集,dev,
POS-0003,v3,一、缺省预设（信息缺位处默认为男性）,1.1 泛指人称代词,常规句,指向男性,,公文与规章,学生手册,无,中,学生若对期末成绩有异议，他可在成绩公布后一周内向教务处申请复核。,学生若对期末成绩有异议，可在成绩公布后一周内向教务处申请复核。,需改写,他,条件句主语已明确为“学生”，代词冗余且带预设。,改为“本人可在……”,替换为“他/她可在”,把“教务处”改为“相关部门”，丢失办理主体,一周期限、教务处、申请复核,应改,易,否,,主集,index,
POS-0004,v3,一、缺省预设（信息缺位处默认为男性）,1.1 泛指人称代词,常规句,不特指,,学术与调研,问卷指导语,无,中,受访者需回忆他最近一次求职经历，并按提示逐项作答。,受访者需回忆本人最近一次求职经历，并按提示逐项作答。,需改写,他,受访者性别未知，问卷指导语应中性。,“回忆自己最近一次求职经历”,改为“他／她”,把“逐项作答”删掉，丢失作答要求,最近一次求职经历、逐项作答,应改,中,否,,主集,test,
POS-0005,v3,一、缺省预设（信息缺位处默认为男性）,1.1 泛指人称代词,常规句,不特指,,社交与社区,经验贴,网络用语,中,面试官一般先看候选人的项目经历，然后他才会问技术细节，别慌orz,面试官一般先看候选人的项目经历，然后才会问技术细节，别慌orz,需改写,他,泛指面试官，中文可直接承前省略。,“……之后才问技术细节”,保留“他”只加括注,顺手删掉“orz”与口语语气，改变语体,项目经历优先、技术细节在后、口语语气与 orz,应改,中,否,改写只针对性别问题，不修正语体噪声,主集,index,
POS-0006,v3,一、缺省预设（信息缺位处默认为男性）,1.1 泛指人称代词,常规句,不特指,,公文与规章,政务热线工单,无,中,来电人反映其小区电梯故障，他要求三日内答复处理进度。,来电人反映其小区电梯故障，要求三日内答复处理进度。,需改写,他,工单中来电人性别未记录，默认用他属预设。,“要求三日内答复”，承前省略,改成“他/她要求”,把三日答复这一诉求删掉,三日内答复、电梯故障、处理进度,应改,易,否,,主集,index,
POS-0007,v3,一、缺省预设（信息缺位处默认为男性）,1.1 泛指人称代词,常规句,不特指,,法律与司法,仲裁须知,无,中,被申请人收到通知书后，他应当在十五日内提交答辩书。,被申请人收到通知书后，应当在十五日内提交答辩书。,需改写,他,法律文书中泛指程序主体，代词冗余且带预设。,“被申请人应于收到通知书之日起十五日内答辩”,改为“他/她应当”,把十五日期限改成“及时”，丢失法定期间,十五日、答辩书、收到通知书起算,应改,易,否,,主集,test,
POS-0008,v3,一、缺省预设（信息缺位处默认为男性）,1.1 泛指人称代词,常规句,不特指,,工程与技术,运维手册,缩略,中,值班工程师发现告警后，他需10min内确认是否误报。,值班工程师发现告警后，需10min内确认是否误报。,需改写,他,岗位泛指，代词可直接省略。,“告警发现后10min内需完成误报确认”,改成“他/她需10min内”,把10min改成“十分钟”，改变原文缩略风格,10min 时限、确认是否误报、缩略写法,应改,易,否,保留缩略,主集,index,
POS-0009,v3,一、缺省预设（信息缺位处默认为男性）,1.2 领属与反身形式,常规句,不特指,,公文与规章,企业规章,无,中,每位员工进入厂区必须佩戴他的工牌，否则保安有权劝返。,员工进入厂区必须佩戴本人工牌，否则保安有权劝返。,需改写,他的,领属形式“他的”指向不特定员工。,“须佩戴工牌”，直接省略领属,改为“他/她的工牌”,把“保安有权劝返”删除，丢失后果条款,佩戴工牌、保安有权劝返,应改,易,否,,主集,test,
POS-0010,v3,一、缺省预设（信息缺位处默认为男性）,1.2 领属与反身形式,常规句,不特指,,文艺创作与评论,图书腰封文案,无,中,每一位读者都会在这本书里找到属于他自己的答案。,每一位读者都会在这本书里找到属于自己的答案。,需改写,他自己,反身形式冗余，删去一个字即可，是最小改动样本。,“找到自己的答案”,改成“他／她自己”，反而更累赘,把“每一位读者”改成“读者们”，削弱句子力度,每一位读者、找到答案的意象,应改,易,否,最小改动典型样本,主集,index,
