id,text,output,rewrite_type,type_note
POS-1171,她有男人的格局。,她的格局很大。,LOCAL_REPAIR,局部替换“男人的格局”为非性别化表达。
POS-1111,一个女孩子家家，怎么这么晚才回家。,这么晚才回家，注意安全。,LOCAL_REPAIR,删除性别化称呼后，原句的询问/责备命题仍可成立，局部修复即可。
POS-1367,男人有泪不轻弹。,流泪是正常的情感表达。,PROPOSITION_RECONSTRUCTION,重构“男性不应流泪”的规范命题。
POS-1302,这点事都做不了，还是男的呢。,这点事都做不了，真不应该。,LOCAL_REPAIR,删除男性资格羞辱并局部补足语句。
POS-1386,男人嘛，不会做家务很正常。,不会做家务是可以学习和改善的。,PROPOSITION_RECONSTRUCTION,由性别本质化判断重构为可学习命题。
POS-1305,让老婆养着，还是个男人吗。,让伴侣养着，不是耻辱。,PROPOSITION_RECONSTRUCTION,重构男性经济供养与羞耻的命题。
POS-1218,女人嘛，过日子精打细算总是好的。,过日子精打细算总是好的。,LOCAL_REPAIR,删除女性限定，保留精打细算的评价。
POS-0846,急诊夜班压力大，女实习生先别排，等轮转到病房再上手。,急诊夜班压力大，实习生先别排，等轮转到病房再上手。,LOCAL_REPAIR,删除无关性别限定，保留排班条件。
POS-1318,你怎么撒娇起来比女的还能演。,你撒娇起来很有表现力。,LOCAL_REPAIR,局部替换性别比较表达。
POS-1217,女人嘛，都希望有个依靠。,人们常常希望有个依靠。,LOCAL_REPAIR,将女性群体概括局部改为一般人群。
POS-1207,到底是女人，心软。,心软是人的一种特质。,LOCAL_REPAIR,移除女性与心软的绑定并局部改写。
POS-1003,女人都是头发长见识短。,头发长短与见识无关。,PROPOSITION_RECONSTRUCTION,对俗语所表达的偏见命题进行重新表述。
POS-1322,一个大老爷们，怎么连家都养不起。,一个成年人，怎么连家都养不起。,PROPOSITION_RECONSTRUCTION,偏见不仅在“大老爷们”，还包含男性必须独自养家的角色规范，需要重构命题。
POS-1138,作为女人，年纪大了就别太挑剔。,年纪大了就别太挑剔。,PROPOSITION_RECONSTRUCTION,偏见不仅在“作为女人”，还包含对年龄与择偶选择的规训，需要重构命题。
POS-1214,女人嘛，到了一定年纪都怕老。,人到了一定年纪都会担心衰老。,LOCAL_REPAIR,将女性群体概括局部改为一般人群。
POS-1169,她有男人的气魄。,她很有气魄。,LOCAL_REPAIR,删除以男性为气魄标准的局部表达。
POS-1219,女人嘛，少喝点酒比较体面。,饮酒适量更健康。,PROPOSITION_RECONSTRUCTION,由女性体面规范重构为健康命题。
POS-1385,男人嘛，被老婆管管也不丢人。,伴侣之间互相理解和支持是正常的。,PROPOSITION_RECONSTRUCTION,重构男性被伴侣管理的羞耻命题。
POS-1182,男怕入错行，女怕嫁错郎。,选择职业和伴侣都需要谨慎。,PROPOSITION_RECONSTRUCTION,重构职业与婚姻的性别分工命题。
POS-1329,大男人怎么这么没主见。,怎么这么没主见。,LOCAL_REPAIR,删除“大男人”的身份规训。
POS-1153,她比男人还果断。,她非常果断。,LOCAL_REPAIR,删除与男性比较的局部结构。
POS-1017,女人都想找个有钱的依靠。,每个人都可能希望找到经济稳定的伴侣。,LOCAL_REPAIR,将女性群体概括局部改为一般人群。
POS-1174,她有一颗男人的心。,她有一颗坚定的心。,LOCAL_REPAIR,局部替换“男人的心”。
POS-1180,她讲话像男人一样直来直去。,她讲话很直率。,LOCAL_REPAIR,删除“像男人一样”的比较表达。
POS-1127,身为人妻，要懂得忍让。,在关系中，互相理解和包容是重要的。,PROPOSITION_RECONSTRUCTION,重构妻子单方面忍让的关系规范。
POS-1172,她有男人的胸怀。,她很有胸怀。,LOCAL_REPAIR,删除以男性为胸怀标准的局部表达。
POS-1177,她有男人那种敢闯敢拼的劲儿。,她有一种敢闯敢拼的劲儿。,LOCAL_REPAIR,删除以男性为敢闯敢拼标准的局部表达。
POS-1082,这账算得真清楚，还是个女的呢。,这账算得真清楚。,LOCAL_REPAIR,删除对女性能力的惊讶性尾语。
POS-1186,嫁汉嫁汉，穿衣吃饭。,婚姻是生活的一种选择。,PROPOSITION_RECONSTRUCTION,重构婚姻与经济依附的俗语命题。
POS-1078,写得真好，还是个女作家呢。,写得真好，是位作家呢。,LOCAL_REPAIR,删除不必要的女性职业标记。
POS-1132,一个女人，30 岁前一定要把自己嫁出去。,30岁前是否结婚是个人选择。,PROPOSITION_RECONSTRUCTION,重构女性必须在特定年龄结婚的命题。
POS-1137,作为女人，结婚以后就该以家为先。,结婚以后可以根据个人意愿和家庭情况决定优先事项。,PROPOSITION_RECONSTRUCTION,重构女性婚后必须以家庭为先的命题。
POS-1317,说话细声细气，跟个娘们儿似的。,说话细声细气。,LOCAL_REPAIR,删除贬损性的女性比较短语。
