case_id,model,function_category,original_zh,original_en,output_zh,output_en,span,operation,failure_type,severity,gate,analysis,provenance,image
C01,DeepSeek (web chat),Semantic core · relationship term,我女朋友跟我打电话说她明天会过来。,My girlfriend called me and said she would come over tomorrow.,我伴侣跟我打电话说她明天会过来。,My partner called me and said she would come over tomorrow.,女朋友 nǚpéngyou 'girlfriend',Hypernym substitution,Referential precision loss,S2,Information preservation / Naturalness,"'女朋友' encodes both the relationship type (dating) and the partner's sex. Replacing it with '伴侣' ('partner', normally used of a long-term or marital partner) changes the relationship type and drops the sex. The edit is also internally inconsistent: the pronoun '她' ('she') later in the same sentence is left untouched, so the output still marks sex — evidence that the system edits spans locally without re-checking the sentence.",Original document,image1.png
C02,DeepSeek (web chat),Semantic core · kinship term,小明的外公今天下午会去接他放学。,Xiao Ming's maternal grandfather will pick him up from school this afternoon.,小明的外祖父母之一今天下午会去接他放学。,One of Xiao Ming's maternal grandparents will pick him up from school this afternoon.,外公 wàigōng 'maternal grandfather',Hypernym substitution,Referential precision loss + breakdown of naturalness,S2,Information preservation / Naturalness,"Chinese kinship terminology is differentiated by lineage as well as by sex: '外公' specifies the maternal line and the male grandparent, and there is no neutral term at that node. The system's workaround, '外祖父母之一' ('one of the maternal grandparents'), is a disjunctive description no native speaker would use to refer to a known individual. Both precision and naturalness fail at once.",Original document,image2.png
C03,DeepSeek (web chat),Reference · coreference with a sentence-internal antecedent,张阿姨把钥匙交给李叔叔后，她就先回家了。,"After Aunt Zhang handed the keys to Uncle Li, she went home first.",张阿姨把钥匙交给李叔叔后，TA就先回家了。,"After Aunt Zhang handed the keys to Uncle Li, TA went home first.",她 tā 'she',Pronoun substitution,Added ambiguity,S2,No added ambiguity,"There are two candidate antecedents, one female and one male, and the written pronoun is the only cue that resolves the anaphora. Substituting the neutral form 'TA' leaves the reference undetermined. Note the direction of failure: this case adds an ambiguity that the source did not have, rather than deleting information — the two failure modes need to be scored separately.",Original document,image3.png
C04,DeepSeek (web chat),Reference · definite anaphora (labelled 'indefinite first mention' in the source document — see analysis),王敏工作很努力，她每天晚上都持续加班到10点以后。,Wang Min works very hard; she stays at the office past 10 pm every night.,王敏工作很努力，每天晚上都持续加班到10点以后。,Wang Min works very hard; [she] stays at the office past 10 pm every night.,她 tā 'she',Pronoun deletion,Disputed (no substantive loss),S3,—,"Chinese permits zero anaphora, and the antecedent here is a unique proper name, so the output remains natural and unambiguous. This is the weakest case in the set. The source document's label ('indefinite first mention') also does not match the example, since 王敏 is a definite proper name; the genuine indefinite first mention is C06. Recommendation: downgrade or replace. Retained here pending adjudication.",Original document (disputed),image4.png
C05,DeepSeek (web chat),Reference · bare nominal description,警方确认，走失女童已经安全回到家人身边。,Police confirmed that the missing girl has returned safely to her family.,警方确认，走失儿童已经安全回到家人身边。,Police confirmed that the missing child has returned safely to their family.,女童 nǚtóng 'girl (child)',Hypernym substitution,Referential precision loss,S2,Information preservation,In a missing-person report the sex of the child is identifying information tied to the communicative purpose of the text. Generalising to '儿童' ('child') removes the feature that makes the notice usable.,Original document,image5.png
C06,DeepSeek (web chat),Reference · indefinite first mention,警方正在寻找一名女店员，她可能掌握案发时的关键线索。,Police are looking for a female shop assistant who may hold a key lead about the incident.,警方正在寻找一名店员，该人可能掌握案发时的关键线索。,Police are looking for a shop assistant; the said person may hold a key lead about the incident.,女店员 'female shop assistant' / 她 'she',Modifier deletion + de-personalising substitution,Referential precision loss,S2,Information preservation / Naturalness,"The same generalisation as C05, but in a public appeal for a witness, where the descriptor is the only identifying feature given. A second, independent problem: '她' is replaced by '该人' ('the said person'), a bureaucratic form that clashes with the register of a news appeal. The source document left this case unlabelled and its problem field empty; this entry was supplied during the reorganisation and needs adjudication.",Added in v2.0,image6.png
C07,DeepSeek (web chat),Historical representativeness · 'first',林珊成为该校建校以来首位女性校长。,Lin Shan became the school's first female principal since its founding.,林珊成为该校建校以来首位校长。,Lin Shan became the school's first principal since its founding.,女性 'female',Modifier deletion,Factual error,S1,Information preservation,"'First female principal' and 'first principal' are different propositions. Deleting the modifier makes the sentence assert that the school had never had a principal before — a false statement. The gender term is the load-bearing element of the claim, not an incidental marker.",Original document,image7.png
C08,DeepSeek (web chat),Statistical / medical variable · epidemiology,在本次临床试验样本中，女性患者组报告药物不良反应的比例高于男性患者组。,"In this clinical trial sample, the female patient group reported adverse drug reactions at a higher rate than the male patient group.",在本次临床试验样本中，报告药物不良反应的比例在不同性别组间存在差异。,"In this clinical trial sample, the rate of reported adverse drug reactions differed between sex groups.",女性患者组 / 男性患者组,Propositional abstraction,Factual error (finding no longer reproducible),S1,Information preservation,"Sex is the grouping variable of the study. Abstracting to 'differed between sex groups' removes the direction of the effect, so the result can no longer be reproduced or used to inform prescribing. This is the clearest case in the set where inclusive rewriting collides with a safety-relevant use of the text.",Original document,image8.png
C09,DeepSeek (web chat),Institutional category / proper name · competition division,校女子篮球队在决赛中以两分优势获胜。,The school women's basketball team won the final by two points.,校篮球队在决赛中以两分优势获胜。,The school basketball team won the final by two points.,女子 'women's',Modifier deletion,Proper-name reference error,S1,Information preservation,"'女子' here is part of an institutional name and reflects the division structure of the competition; it is not a descriptive modifier attached to the players. After deletion the sentence refers to a different team, so the report becomes false. Surface form alone cannot distinguish this '女' from the redundant marking in, e.g., '女司机' ('woman driver') — which is precisely why a function-level decision is required before any operation is chosen.",Original document,image9.png
C10,DeepSeek (web chat),Quotation and reported speech · embedded function,"讲者指出，""女人就该照顾家庭""这种说法把照护责任单方面推给女性。",The speaker pointed out that the claim 'women should take care of the family' assigns caregiving responsibility unilaterally to women.,"讲者指出，""要求女性承担照护家庭的责任""这种说法把照护责任单方面推给特定性别。",The speaker pointed out that the claim 'requiring women to bear responsibility for family care' assigns caregiving responsibility unilaterally to a particular sex.,the entire quoted string,Propositional abstraction,Quotation distortion,S1,Information preservation / Minimal edit,"The quoted material is mentioned, not asserted: it is the object of the speaker's criticism. Editing inside the quotation marks fabricates a quotation — unacceptable in journalistic and academic text — and simultaneously removes the target of the criticism, so the matrix clause no longer makes sense. The system does not distinguish use from mention.",Original document,image10.png
