priority,score,id,current_label,suggested_action,text,l1,l2,current_reason,flags,controversial,difficulty,register_group,register,original_split,reviewer_decision,reviewer_reason
HIGH,12,POS-0380,POSITIVE,MOVE_TO_NEGATIVE,本届学生会主席由王某担任，他也是学前教育专业历史上第一位男性主席。,二、冗余标记（性别在场却不承载信息）,2.5 “首位女性”式顺位标注,顺位标注把当事人的身份变成新闻点，与其当选无关。,争议样本 | 处置强度较弱 | 依赖假设或隐藏语境：若 | 已知高风险边界子类 | 可被理解为具体事实或具体对象,是,中,社交与社区,校园报道,index,,
HIGH,10,POS-0088,POSITIVE,MOVE_TO_NEGATIVE,年会上我们请到了第一位女性大区经理李娜，分享她的销售心得。,二、冗余标记（性别在场却不承载信息）,2.5 “首位女性”式顺位标注,此处主题为销售经验，首位女性的标注与内容无关。,争议样本 | 处置强度较弱 | 已知高风险边界子类 | 可被理解为具体事实或具体对象,是,难,公文与规章,内部邮件,dev,,
HIGH,10,POS-0089,POSITIVE,MOVE_TO_NEGATIVE,这是我司首位女性技术总监，她将负责中台重构项目。,二、冗余标记（性别在场却不承载信息）,2.5 “首位女性”式顺位标注,任命公告的重点是职责，首位女性的标注反而弱化其专业身份。,争议样本 | 处置强度较弱 | 已知高风险边界子类 | 可被理解为具体事实或具体对象,是,难,商业与产品,公司公告,index,,
HIGH,10,POS-0094,POSITIVE,MOVE_TO_NEGATIVE,他是该幼儿园建园以来第一位男性园长，主抓课程改革。,二、冗余标记（性别在场却不承载信息）,2.5 “首位女性”式顺位标注,反向的顺位标注，同样属冗余。,争议样本 | 处置强度较弱 | 已知高风险边界子类 | 可被理解为具体事实或具体对象,是,难,新闻报道,校园报道,index,,
HIGH,10,POS-0258,POSITIVE,MOVE_TO_NEGATIVE,各位女士、各位先生，晚上好，欢迎来到本届颁奖典礼。,六、以性别设限与划界,6.1 二元穷举式称呼与并称,礼仪套语中的二元穷举。,争议样本 | 处置强度较弱 | 已知高风险边界子类 | 可被理解为具体事实或具体对象,是,中,公文与规章,颁奖典礼开场,index,,
HIGH,10,POS-0259,POSITIVE,REVIEW,本次拔河比赛以男女搭配为原则组队，每队须男四女四。,六、以性别设限与划界,6.1 二元穷举式称呼与并称,若无竞技规则依据，按性别配额组队属非必要划分。,争议样本 | 处置强度较弱 | 依赖假设或隐藏语境：若 | 已知高风险边界子类,是,难,公文与规章,工会活动通知,index,,
HIGH,10,POS-0516,POSITIVE,REVIEW,她是本奖项创设以来最年轻的女性得主，今年三十四岁。,二、冗余标记（性别在场却不承载信息）,2.5 “首位女性”式顺位标注,年龄纪录本身可报道，叠加性别限定后把纪录降为分组纪录。,争议样本 | 处置强度较弱 | 依赖假设或隐藏语境：若 | 已知高风险边界子类,是,中,新闻报道,颁奖报道,index,,
HIGH,10,POS-0520,POSITIVE,REVIEW,她经济持续升温，粉色消费成为拉动增长的新引擎。,二、冗余标记（性别在场却不承载信息）,2.6 商品、空间与内容的性别化归类,以性别化标签概括消费市场，并用颜色隐喻窄化其内涵。,争议样本 | 处置强度较弱 | 依赖假设或隐藏语境：有分歧 | 已知高风险边界子类,是,中,商业与产品,行业分析稿,test,,
HIGH,10,POS-0837,POSITIVE,MOVE_TO_NEGATIVE,恭喜苏敏晋升为公司首位女性首席架构师，即日起履新。,二、冗余标记（性别在场却不承载信息）,2.5 “首位女性”式顺位标注,内部晋升通报的功能是公示任职，顺位标注与履职无关。,争议样本 | 处置强度较弱 | 已知高风险边界子类 | 可被理解为具体事实或具体对象,是,中,工程与技术,内部通报,index,,
HIGH,9,POS-0269,POSITIVE,REVIEW,问卷设计初稿 第1题 您的性别（必填）：□男 □女,六、以性别设限与划界,6.3 表单、字段与选项的强制二元,本条为设计阶段的初稿，非既有问卷的引用；若为引用则属负例集 5.4，不得改动。,争议样本 | 处置强度较弱 | 依赖假设或隐藏语境：若、语境 | 边界子类,是,难,学术与调研,问卷题干,dev,,
HIGH,9,POS-0371,POSITIVE,REVIEW,本期推出青年才女专辑，收录五位作者的近作。,二、冗余标记（性别在场却不承载信息）,2.2 性别专用与阴性化称谓,“才女”为女性专用称谓，暗示其才华需另设一类来安放。,争议样本 | 处置强度较弱 | 依赖假设或隐藏语境：语境、有分歧 | 边界子类,是,中,文艺创作与评论,文学期刊编者按,index,,
HIGH,9,POS-0506,POSITIVE,REVIEW,今晚舞台稳得一批，不愧是我女神，隔壁男神也来了。,二、冗余标记（性别在场却不承载信息）,2.2 性别专用与阴性化称谓,以“神”这一外貌崇拜式称谓指代艺人，两个方向都把人化为符号。,争议样本 | 处置强度较弱 | 依赖假设或隐藏语境：语境、有分歧 | 边界子类,是,中,社交与社区,粉丝社群,dev,,
HIGH,9,POS-0595,POSITIVE,DELETE_OR_SPLIT,称谓下拉：先生 / 小姐（默认值：先生）,六、以性别设限与划界,6.1 二元穷举式称呼与并称,选项二元穷举，且默认值把未选择者一律归为男性。,争议样本 | 已知高风险边界子类 | 同条混合多个现象或结构化片段,是,中,商业与产品,下拉选项配置,index,,
HIGH,8,POS-0070,POSITIVE,REVIEW,办公室大姐大一发话，谁都不敢吭声。,二、冗余标记（性别在场却不承载信息）,2.2 性别专用与阴性化称谓,江湖气的性别化封号，隐含女性掌权是异类。,争议样本 | 处置强度较弱 | 依赖假设或隐藏语境：语境 | 边界子类,是,中,口语与私人交流,办公室闲聊,test,,
HIGH,8,POS-0073,POSITIVE,REVIEW,她笔下的江湖，颇有几分脂粉英雄的意味。,二、冗余标记（性别在场却不承载信息）,2.2 性别专用与阴性化称谓,以“脂粉”限定“英雄”，暗示女性英雄需另设范畴。,争议样本 | 处置强度较弱 | 依赖假设或隐藏语境：有分歧 | 边界子类,是,难,文艺创作与评论,书评,index,,
HIGH,8,POS-0093,POSITIVE,REVIEW,下面有请本届唯一的女性获奖者上台领奖。,二、冗余标记（性别在场却不承载信息）,2.5 “首位女性”式顺位标注,以性别稀缺性替代获奖者本人的身份介绍。,争议样本 | 处置强度较弱 | 已知高风险边界子类,是,难,商业与产品,颁奖典礼串词,dev,,
HIGH,8,POS-0256,POSITIVE,REVIEW,女士们、先生们，欢迎乘坐本次列车。,六、以性别设限与划界,6.1 二元穷举式称呼与并称,礼仪套语，改为身份称呼更简洁且无排他。,争议样本 | 处置强度较弱 | 已知高风险边界子类,是,难,公文与规章,列车广播,dev,,
HIGH,8,POS-0291,POSITIVE,REVIEW,三楼为女生专区，男士止步。,六、以性别设限与划界,6.6 空间、设施与分组的非必要划分,若无更衣等隐私需要，无须限制入内。,争议样本 | 处置强度较弱 | 依赖假设或隐藏语境：若 | 边界子类,是,难,商业与产品,商场告示,index,,
HIGH,8,POS-0370,POSITIVE,REVIEW,创始人是位不折不扣的女强人，把公司从三个人做到了三百人。,二、冗余标记（性别在场却不承载信息）,2.2 性别专用与阴性化称谓,“女强人”为女性专用称谓，男性同等经历不会被如此描述。,争议样本 | 处置强度较弱 | 依赖假设或隐藏语境：有分歧 | 边界子类,是,中,商业与产品,企业宣传册,index,,
